Call_ID,Date,Company,Call_Type,ETA_Minutes,Actual_Response_Minutes,Response_Delta_Minutes,On_Scene_Time_Minutes,Transport_Time_Minutes,Pay_Rate_Hourly,Pay_Tier,Shift_Type,Daily_Call_Volume,Performance_Rating,Is_Late,Had_Negative_Delta
C0216,4/7/2025,Ambulnz,Non-Emergency,13,21,8,15,20,28,High ($28-35),Night,39,Excellent,TRUE,FALSE
C0220,4/12/2025,Hunter Ambulance,Non-Emergency,10,22,12,13,26,19.5,Low ($19-21),Night,58,Excellent,TRUE,FALSE
C0184,4/20/2025,Ambulnz,Non-Emergency,8,14,6,16,17,28,High ($28-35),Night,58,Excellent,TRUE,FALSE
C0115,1/15/2025,Ambulnz,Non-Emergency,10,13,3,15,26,28,High ($28-35),Day,53,Poor,FALSE,FALSE
C0077,4/24/2025,Hunter Ambulance,Non-Emergency,7,19,12,12,23,19.5,Low ($19-21),Day,75,Excellent,TRUE,FALSE
C0260,6/20/2025,AMR,Non-Emergency,14,32,18,8,31,21,Low ($19-21),Day,36,Excellent,TRUE,FALSE
C0067,6/12/2025,Ambulnz,Non-Emergency,10,14,4,12,35,28,High ($28-35),Day,75,Poor,FALSE,FALSE
C0179,6/26/2025,Ambulnz,Non-Emergency,12,15,3,14,41,28,High ($28-35),Night,38,Poor,FALSE,FALSE
C0155,4/12/2025,AMR,Non-Emergency,12,26,14,15,24,21,Low ($19-21),Night,40,Excellent,TRUE,FALSE
C0076,4/3/2025,Citywide Ambulance,Non-Emergency,14,32,18,24,24,22,Low ($19-21),Night,52,Fair,TRUE,FALSE
C0020,2/10/2025,Mount Sinai,Emergency,10,8,0,24,15,35,High ($28-35),Night,70,Good,FALSE,TRUE
C0109,2/6/2025,Citywide Ambulance,Emergency,13,27,0,19,26,22,Low ($19-21),Night,52,Fair,FALSE,TRUE
C0080,5/31/2025,AMR,Non-Emergency,7,4,0,21,42,21,Low ($19-21),Night,38,Poor,FALSE,TRUE
C0119,1/25/2025,Mount Sinai,Emergency,12,18,6,13,41,35,High ($28-35),Day,71,Below Average,TRUE,FALSE
C0073,1/26/2025,Hunter Ambulance,Non-Emergency,11,22,45,11,45,19.5,Low ($19-21),Night,40,Excellent,TRUE,FALSE
C0016,1/16/2025,Hunter Ambulance,Non-Emergency,6,13,7,22,24,19.5,Low ($19-21),Night,70,Fair,TRUE,FALSE
C0011,5/17/2025,Hunter Ambulance,Non-Emergency,13,21,8,24,42,19.5,Low ($19-21),Day,62,Below Average,TRUE,FALSE
C0102,5/12/2025,Hunter Ambulance,Non-Emergency,10,18,8,15,33,19.5,Low ($19-21),Night,46,Good,TRUE,FALSE
C0069,3/17/2025,AMR,Non-Emergency,7,21,14,15,42,21,Low ($19-21),Night,60,Excellent,TRUE,FALSE
C0126,6/29/2025,Citywide Ambulance,Non-Emergency,6,35,29,21,37,22,Low ($19-21),Night,61,Fair,TRUE,FALSE
C0038,4/18/2025,Hunter Ambulance,Non-Emergency,7,4,0,9,45,19.5,Low ($19-21),Day,49,Excellent,FALSE,TRUE
C0017,5/19/2025,AMR,Non-Emergency,11,14,67,24,20,21,Low ($19-21),Day,52,Fair,TRUE,FALSE
C0140,1/12/2025,Mount Sinai,Emergency,14,13,0,10,44,35,High ($28-35),Night,37,Fair,FALSE,TRUE
C0267,1/30/2025,Citywide Ambulance,Non-Emergency,10,35,67,19,31,22,Low ($19-21),Day,63,Poor,TRUE,FALSE
C0068,1/24/2025,Mount Sinai,Emergency,12,18,6,25,43,35,High ($28-35),Day,68,Poor,TRUE,FALSE
C0091,1/24/2025,Mount Sinai,Emergency,13,15,2,9,29,35,High ($28-35),Day,47,Fair,FALSE,FALSE
C0070,4/27/2025,Hunter Ambulance,Non-Emergency,10,16,6,19,18,19.5,Low ($19-21),Night,49,Excellent,TRUE,FALSE
C0204,1/4/2025,Mount Sinai,Emergency,9,15,6,19,36,35,High ($28-35),Night,40,Poor,TRUE,FALSE
C0166,2/16/2025,Senior Care Ambulance,Non-Emergency,13,28,15,17,41,20,Low ($19-21),Night,39,Good,TRUE,FALSE
C0127,2/5/2025,Citywide Ambulance,Non-Emergency,13,17,4,13,29,22,Low ($19-21),Day,56,Poor,FALSE,FALSE
C0222,5/2/2025,Hunter Ambulance,Non-Emergency,10,8,0,24,40,19.5,Low ($19-21),Day,74,Fair,FALSE,TRUE
C0174,1/31/2025,Senior Care Ambulance,Non-Emergency,7,21,14,24,27,20,Low ($19-21),Night,73,Good,TRUE,FALSE
C0019,4/28/2025,Hunter Ambulance,Non-Emergency,7,11,67,11,17,19.5,Low ($19-21),Day,48,Fair,TRUE,FALSE
C0173,5/6/2025,Ambulnz,Non-Emergency,12,16,4,19,26,28,High ($28-35),Night,74,Poor,FALSE,FALSE
C0097,3/2/2025,Mount Sinai,Emergency,13,16,3,23,43,35,High ($28-35),Night,58,Fair,FALSE,FALSE
C0147,1/15/2025,Citywide Ambulance,Non-Emergency,14,16,2,16,21,22,Low ($19-21),Day,40,Excellent,FALSE,FALSE
C0087,6/13/2025,AMR,Non-Emergency,6,25,19,22,41,21,Low ($19-21),Night,52,Good,TRUE,FALSE
C0238,4/28/2025,Ambulnz,Non-Emergency,8,13,5,13,25,28,High ($28-35),Night,52,Poor,FALSE,FALSE
C0138,5/25/2025,Senior Care Ambulance,Non-Emergency,14,23,9,25,19,20,Low ($19-21),Night,55,Fair,TRUE,FALSE
C0177,4/28/2025,AMR,Non-Emergency,13,25,12,11,23,21,Low ($19-21),Day,58,Excellent,TRUE,FALSE
C0110,5/27/2025,AMR,Non-Emergency,11,22,11,15,45,21,Low ($19-21),Day,36,Fair,TRUE,FALSE
C0247,4/20/2025,AMR,Non-Emergency,6,14,0,13,25,21,Low ($19-21),Day,63,Poor,FALSE,TRUE
C0197,3/21/2025,Mount Sinai,Emergency,6,6,0,17,38,35,High ($28-35),Day,50,Fair,FALSE,FALSE
C0056,5/8/2025,Ambulnz,Non-Emergency,9,18,9,17,29,28,High ($28-35),Night,66,Below Average,TRUE,FALSE
C0251,2/8/2025,Citywide Ambulance,Non-Emergency,6,7,0,23,42,22,Low ($19-21),Night,52,Fair,FALSE,TRUE
C0159,1/20/2025,AMR,Non-Emergency,12,14,2,16,40,21,Low ($19-21),Night,66,Good,FALSE,FALSE
C0243,1/6/2025,Mount Sinai,Emergency,7,11,4,25,23,35,High ($28-35),Night,44,Excellent,FALSE,FALSE
C0039,2/9/2025,Ambulnz,Non-Emergency,13,11,0,14,29,28,High ($28-35),Night,51,Fair,FALSE,TRUE
C0186,1/31/2025,Hunter Ambulance,Non-Emergency,8,25,17,10,38,19.5,Low ($19-21),Day,41,Poor,TRUE,FALSE
C0280,5/1/2025,Senior Care Ambulance,Non-Emergency,6,14,8,24,35,20,Low ($19-21),Day,51,Fair,TRUE,FALSE
C0058,5/22/2025,Hunter Ambulance,Non-Emergency,9,18,9,12,42,19.5,Low ($19-21),Day,52,Good,TRUE,FALSE
C0117,5/27/2025,Mount Sinai,Emergency,13,15,2,17,30,35,High ($28-35),Night,60,Good,FALSE,FALSE
C0130,3/11/2025,Senior Care Ambulance,Non-Emergency,9,16,7,24,22,20,Low ($19-21),Night,52,Good,TRUE,FALSE
C0113,3/2/2025,Mount Sinai,Emergency,14,16,2,25,19,35,High ($28-35),Day,52,Good,FALSE,FALSE
C0278,5/31/2025,Ambulnz,Non-Emergency,13,14,1,19,31,28,High ($28-35),Day,50,Fair,FALSE,FALSE
C0105,2/21/2025,Ambulnz,Non-Emergency,9,12,3,17,31,28,High ($28-35),Night,69,Excellent,FALSE,FALSE
C0231,6/24/2025,AMR,Non-Emergency,8,14,6,8,22,21,Low ($19-21),Day,73,Poor,TRUE,FALSE
C0160,1/22/2025,Citywide Ambulance,Non-Emergency,9,26,17,12,27,22,Low ($19-21),Night,75,Good,TRUE,FALSE
C0032,5/13/2025,Ambulnz,Non-Emergency,7,20,13,24,32,28,High ($28-35),Day,55,Fair,TRUE,FALSE
C0118,2/22/2025,Ambulnz,Non-Emergency,11,10,0,20,19,28,High ($28-35),Day,67,Excellent,FALSE,TRUE
C0273,3/30/2025,Mount Sinai,Emergency,14,20,6,16,21,35,High ($28-35),Day,46,Excellent,TRUE,FALSE
C0079,3/22/2025,Hunter Ambulance,Non-Emergency,11,23,12,23,17,19.5,Low ($19-21),Day,52,Good,TRUE,FALSE
C0214,6/6/2025,Senior Care Ambulance,Non-Emergency,7,24,17,10,22,20,Low ($19-21),Day,55,Good,TRUE,FALSE
C0209,5/28/2025,Citywide Ambulance,Emergency,11,27,16,13,20,22,Low ($19-21),Night,72,Excellent,TRUE,FALSE
C0240,1/5/2025,AMR,Non-Emergency,9,27,18,17,19,21,Low ($19-21),Day,59,Poor,TRUE,FALSE
C0268,1/25/2025,Ambulnz,Non-Emergency,14,12,0,14,36,28,High ($28-35),Night,48,Good,FALSE,TRUE
C0148,3/10/2025,Citywide Ambulance,Emergency,6,7,1,25,21,22,Low ($19-21),Night,48,Excellent,FALSE,FALSE
C0272,3/18/2025,Senior Care Ambulance,Non-Emergency,11,19,0,25,19,20,Low ($19-21),Day,52,Good,FALSE,FALSE
C0003,3/30/2025,AMR,Non-Emergency,13,30,17,20,17,21,Low ($19-21),Day,53,Excellent,TRUE,FALSE
C0116,6/7/2025,Senior Care Ambulance,Non-Emergency,8,22,14,13,36,20,Low ($19-21),Day,73,Excellent,TRUE,FALSE
C0196,2/27/2025,Citywide Ambulance,Non-Emergency,11,26,15,19,18,22,Low ($19-21),Day,38,Excellent,TRUE,FALSE
C0169,2/26/2025,Hunter Ambulance,Non-Emergency,9,19,10,24,19,19.5,Low ($19-21),Day,36,Poor,TRUE,FALSE
C0121,5/18/2025,Citywide Ambulance,Non-Emergency,7,25,18,19,39,22,Low ($19-21),Night,52,Excellent,TRUE,FALSE
C0201,3/23/2025,Hunter Ambulance,Non-Emergency,9,23,14,11,19,19.5,Low ($19-21),Day,45,Excellent,TRUE,FALSE
C0257,4/21/2025,Mount Sinai,Emergency,14,20,6,13,38,35,High ($28-35),Night,41,Excellent,TRUE,FALSE
C0128,3/18/2025,Ambulnz,Non-Emergency,10,11,1,23,25,28,High ($28-35),Night,57,Poor,FALSE,FALSE
C0075,6/19/2025,Senior Care Ambulance,Non-Emergency,11,3,0,18,15,20,Low ($19-21),Night,52,Good,FALSE,TRUE
C0030,3/14/2025,Citywide Ambulance,Emergency,11,20,9,15,36,22,Low ($19-21),Day,49,Fair,TRUE,FALSE
C0084,6/22/2025,Ambulnz,Non-Emergency,13,14,1,22,28,28,High ($28-35),Day,48,Good,FALSE,FALSE
C0233,1/28/2025,Senior Care Ambulance,Non-Emergency,10,22,12,16,35,20,Low ($19-21),Night,54,Below Average,TRUE,FALSE
C0108,2/12/2025,AMR,Non-Emergency,6,19,13,21,23,21,Low ($19-21),Night,52,Good,TRUE,FALSE
C0235,6/13/2025,Citywide Ambulance,Non-Emergency,11,40,29,25,20,22,Low ($19-21),Day,41,Poor,TRUE,FALSE
C0158,4/12/2025,Ambulnz,Non-Emergency,9,15,6,25,25,28,High ($28-35),Night,43,Good,TRUE,FALSE
C0259,5/22/2025,Senior Care Ambulance,Non-Emergency,10,25,15,12,37,20,Low ($19-21),Night,46,Excellent,TRUE,FALSE
C0181,3/5/2025,Ambulnz,Non-Emergency,13,20,7,21,27,28,High ($28-35),Night,39,Good,TRUE,FALSE
C0207,6/14/2025,AMR,Non-Emergency,14,30,16,19,30,21,Low ($19-21),Day,66,Excellent,TRUE,FALSE
C0066,6/29/2025,Hunter Ambulance,Non-Emergency,12,34,22,9,44,19.5,Low ($19-21),Day,66,Poor,TRUE,FALSE
C0222,5/2/2025,Hunter Ambulance,Non-Emergency,10,8,0,24,40,19.5,Low ($19-21),Day,74,Fair,FALSE,TRUE
C0086,4/8/2025,Mount Sinai,Emergency,14,14,0,10,27,35,High ($28-35),Night,37,Fair,FALSE,FALSE
C0204,1/4/2025,Mount Sinai,Emergency,9,15,6,19,36,35,High ($28-35),Night,40,Poor,TRUE,FALSE
C0013,3/2/2025,Mount Sinai,Emergency,13,16,3,23,22,35,High ($28-35),Night,61,Good,FALSE,FALSE
C0036,6/4/2025,Hunter Ambulance,Non-Emergency,10,19,2,18,36,19.5,Low ($19-21),Night,60,Fair,FALSE,FALSE
C0029,6/7/2025,Hunter Ambulance,Non-Emergency,6,13,7,18,29,19.5,Low ($19-21),Night,63,Fair,TRUE,FALSE
C0143,1/29/2025,Ambulnz,Non-Emergency,12,9,0,8,22,28,High ($28-35),Night,39,Excellent,FALSE,TRUE
C0182,4/27/2025,Citywide Ambulance,Non-Emergency,6,11,5,10,38,22,Low ($19-21),Night,75,Excellent,FALSE,FALSE
C0266,3/26/2025,Ambulnz,Non-Emergency,14,13,0,8,18,28,High ($28-35),Night,57,Below Average,FALSE,TRUE
C0185,6/10/2025,Citywide Ambulance,Non-Emergency,9,19,10,11,15,22,Low ($19-21),Night,52,Below Average,TRUE,FALSE
C0052,6/2/2025,Ambulnz,Non-Emergency,10,12,2,17,37,28,High ($28-35),Night,52,Fair,FALSE,FALSE
C0096,1/26/2025,Ambulnz,Non-Emergency,14,12,45,12,34,28,High ($28-35),Night,44,Fair,TRUE,FALSE
C0254,4/27/2025,AMR,Non-Emergency,13,33,20,22,18,21,Low ($19-21),Day,52,Excellent,TRUE,FALSE
C0211,1/1/2025,Senior Care Ambulance,Non-Emergency,8,24,16,18,16,20,Low ($19-21),Day,44,Fair,TRUE,FALSE
C0042,4/28/2025,Mount Sinai,Emergency,14,17,3,25,39,35,High ($28-35),Night,64,Poor,FALSE,FALSE
C0090,1/18/2025,Citywide Ambulance,Non-Emergency,10,26,16,10,24,22,Low ($19-21),Night,52,Excellent,TRUE,FALSE
C0234,2/5/2025,Senior Care Ambulance,Non-Emergency,10,16,6,20,38,20,Low ($19-21),Day,72,Below Average,TRUE,FALSE
C0137,2/9/2025,Ambulnz,Non-Emergency,11,11,0,23,39,28,High ($28-35),Day,48,Good,FALSE,FALSE
C0027,3/22/2025,AMR,Non-Emergency,7,9,2,16,16,21,Low ($19-21),Night,52,Below Average,FALSE,FALSE
C0145,3/19/2025,Citywide Ambulance,Emergency,14,28,14,9,32,22,Low ($19-21),Day,46,Good,TRUE,FALSE
C0142,2/27/2025,Senior Care Ambulance,Non-Emergency,10,32,22,21,32,20,Low ($19-21),Night,49,Excellent,TRUE,FALSE
C0275,6/18/2025,AMR,Non-Emergency,11,15,4,13,15,21,Low ($19-21),Day,50,Good,FALSE,FALSE
C0001,3/12/2025,Citywide Ambulance,Non-Emergency,8,23,15,25,17,22,Low ($19-21),Day,52,Good,TRUE,FALSE
C0265,3/19/2025,Citywide Ambulance,Non-Emergency,11,20,45,13,31,22,Low ($19-21),Day,67,Good,TRUE,FALSE
C0101,5/21/2025,Mount Sinai,Emergency,12,10,0,17,18,35,High ($28-35),Day,50,Fair,FALSE,TRUE
C0250,6/23/2025,AMR,Non-Emergency,9,24,15,18,31,21,Low ($19-21),Day,52,Below Average,TRUE,FALSE
C0245,4/15/2025,Senior Care Ambulance,Non-Emergency,6,8,2,23,25,20,Low ($19-21),Night,52,Good,FALSE,FALSE
C0276,5/3/2025,AMR,Non-Emergency,10,25,15,10,41,21,Low ($19-21),Day,43,Below Average,TRUE,FALSE
C0099,2/7/2025,Ambulnz,Non-Emergency,9,13,4,8,28,28,High ($28-35),Day,60,Below Average,FALSE,FALSE
C0037,6/1/2025,Senior Care Ambulance,Non-Emergency,12,25,13,9,23,20,Low ($19-21),Night,55,Excellent,TRUE,FALSE
C0062,4/8/2025,AMR,Non-Emergency,13,19,10,10,22,21,Low ($19-21),Night,53,Good,TRUE,FALSE
C0151,5/22/2025,Ambulnz,Non-Emergency,12,17,5,15,27,28,High ($28-35),Day,50,Excellent,FALSE,FALSE
C0226,6/24/2025,AMR,Non-Emergency,11,19,20,23,44,21,Low ($19-21),Day,52,Poor,TRUE,FALSE
C0193,6/18/2025,Senior Care Ambulance,Non-Emergency,8,21,13,19,31,20,Low ($19-21),Day,51,Fair,TRUE,FALSE
C0232,4/7/2025,Citywide Ambulance,Non-Emergency,9,22,13,20,33,22,Low ($19-21),Day,35,Excellent,TRUE,FALSE
C0012,4/23/2025,Hunter Ambulance,Non-Emergency,9,17,8,25,22,19.5,Low ($19-21),Day,52,Excellent,TRUE,FALSE
C0093,6/11/2025,AMR,Non-Emergency,7,13,6,16,38,21,Low ($19-21),Night,73,Excellent,TRUE,FALSE
C0264,1/11/2025,Ambulnz,Non-Emergency,8,8,0,8,25,28,High ($28-35),Night,52,Excellent,FALSE,FALSE
C0028,6/9/2025,Mount Sinai,Emergency,10,13,3,18,27,35,High ($28-35),Night,53,Below Average,FALSE,FALSE
C0210,5/26/2025,Mount Sinai,Emergency,9,24,15,23,32,35,High ($28-35),Day,46,Good,TRUE,FALSE
C0005,1/19/2025,Citywide Ambulance,Non-Emergency,9,19,10,25,22,22,Low ($19-21),Night,55,Excellent,TRUE,FALSE
C0123,5/11/2025,AMR,Non-Emergency,6,29,23,23,31,21,Low ($19-21),Night,44,Fair,TRUE,FALSE
C0033,5/21/2025,Citywide Ambulance,Non-Emergency,13,24,11,16,39,22,Low ($19-21),Day,66,Poor,TRUE,FALSE
C0195,6/22/2025,AMR,Non-Emergency,14,27,0,23,26,21,Low ($19-21),Night,44,Excellent,FALSE,TRUE
C0163,1/17/2025,AMR,Non-Emergency,10,31,21,10,26,21,Low ($19-21),Day,50,Fair,TRUE,FALSE
C0224,3/12/2025,Senior Care Ambulance,Non-Emergency,6,6,0,24,40,20,Low ($19-21),Night,42,Fair,FALSE,FALSE
C0248,1/30/2025,Mount Sinai,Emergency,10,10,0,23,40,35,High ($28-35),Night,45,Excellent,FALSE,FALSE
C0139,5/11/2025,Ambulnz,Non-Emergency,8,16,8,9,32,28,High ($28-35),Night,54,Good,TRUE,FALSE
C0063,1/26/2025,Mount Sinai,Emergency,6,5,0,19,28,35,High ($28-35),Night,50,Fair,FALSE,TRUE
C0136,1/31/2025,AMR,Non-Emergency,14,38,24,17,37,21,Low ($19-21),Day,75,Poor,TRUE,FALSE
C0129,4/12/2025,Senior Care Ambulance,Non-Emergency,8,20,12,10,26,20,Low ($19-21),Night,51,Below Average,TRUE,FALSE
C0010,5/16/2025,Ambulnz,Non-Emergency,13,20,45,17,22,28,High ($28-35),Day,50,Good,TRUE,FALSE
C0009,3/9/2025,Hunter Ambulance,Non-Emergency,14,22,8,17,41,19.5,Low ($19-21),Night,67,Fair,TRUE,FALSE
C0071,4/29/2025,Ambulnz,Non-Emergency,12,19,6,9,24,28,High ($28-35),Night,52,Fair,TRUE,FALSE
C0261,3/15/2025,Ambulnz,Non-Emergency,6,6,0,25,16,28,High ($28-35),Day,63,Below Average,FALSE,FALSE
C0065,4/24/2025,Citywide Ambulance,Emergency,10,28,18,16,29,22,Low ($19-21),Day,47,Fair,TRUE,FALSE
C0045,3/4/2025,Mount Sinai,Emergency,13,11,0,25,25,35,High ($28-35),Day,64,Poor,FALSE,TRUE
C0225,1/28/2025,Senior Care Ambulance,Non-Emergency,10,18,8,21,23,20,Low ($19-21),Night,66,Fair,TRUE,FALSE
C0157,3/11/2025,Citywide Ambulance,Non-Emergency,7,33,26,25,33,22,Low ($19-21),Night,37,Excellent,TRUE,FALSE
C0041,1/31/2025,AMR,Non-Emergency,6,23,17,19,17,21,Low ($19-21),Day,52,Good,TRUE,FALSE
